ReleaseURL,Release,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
/release/rl2923857409/?ref_=bo_yld_table_210,Born to Be Wild,"$1,720,805",208,"$25,978,556",Apr 8,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_210&rf=mojo_yld_table_210,Warner Bros.,2013-04-08,4
/release/rl3527575041/?ref_=bo_yld_table_211,The Attack,"$1,720,324",55,"$1,720,325",Jun 21,https://pro.imdb.com/company/co0243890/boxoffice/?view=releases&ref_=mojo_yld_table_211&rf=mojo_yld_table_211,Cohen Media Group,2013-06-21,6
/release/rl980583937/?ref_=bo_yld_table_212,Stoker,"$1,714,221",275,"$1,714,221",Mar 1,https://pro.imdb.com/company/co0028932/boxoffice/?view=releases&ref_=mojo_yld_table_212&rf=mojo_yld_table_212,Fox Searchlight Pictures,2013-03-01,3
/release/rl4034299393/?ref_=bo_yld_table_213,Unfinished Song,"$1,702,668",91,"$1,702,668",Jun 21,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_213&rf=mojo_yld_table_213,The Weinstein Company,2013-06-21,6
/release/rl994543105/?ref_=bo_yld_table_214,Bhaag Milkha Bhaag,"$1,636,731",140,"$1,636,731",Jul 12,https://pro.imdb.com/company/co0261932/boxoffice/?view=releases&ref_=mojo_yld_table_214&rf=mojo_yld_table_214,Reliance Big Pictures,2013-07-12,7
/release/rl139757057/?ref_=bo_yld_table_215,Girl Rising,"$1,620,901",170,"$1,727,259",Mar 7,https://pro.imdb.com/company/co0370504/boxoffice/?view=releases&ref_=mojo_yld_table_215&rf=mojo_yld_table_215,GathrFilms,2013-03-07,3
/release/rl594707969/?ref_=bo_yld_table_216,Stories We Tell,"$1,600,145",70,"$1,600,145",May 10,https://pro.imdb.com/company/co0017716/boxoffice/?view=releases&ref_=mojo_yld_table_216&rf=mojo_yld_table_216,Roadside Attractions,2013-05-10,5
/release/rl2473231873/?ref_=bo_yld_table_217,Race 2,"$1,579,940",153,"$1,579,940",Jan 25,https://pro.imdb.com/company/co0131238/boxoffice/?view=releases&ref_=mojo_yld_table_217&rf=mojo_yld_table_217,UTV Motion Pictures,2013-01-25,1
/release/rl39421441/?ref_=bo_yld_table_218,Here Comes the Boom,"$1,575,148","3,014","$45,290,318",Oct 12,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_218&rf=mojo_yld_table_218,Sony Pictures Entertainment (SPE),2013-10-12,10
/release/rl793019905/?ref_=bo_yld_table_219,Beasts of the Southern Wild,"$1,546,618",318,"$12,795,746",Jun 27,https://pro.imdb.com/company/co0028932/boxoffice/?view=releases&ref_=mojo_yld_table_219&rf=mojo_yld_table_219,Fox Searchlight Pictures,2013-06-27,6
/release/rl3060762113/?ref_=bo_yld_table_220,The Saratov Approach,"$1,539,595",84,"$2,146,999",Oct 9,https://pro.imdb.com/company/co0482851/boxoffice/?view=releases&ref_=mojo_yld_table_220&rf=mojo_yld_table_220,Purdie Distribution,2013-10-09,10
/release/rl290620929/?ref_=bo_yld_table_221,Flying Monsters 3D with David Attenborough,"$1,529,004",27,"$5,705,874",Oct 7,https://pro.imdb.com/company/co0223903/boxoffice/?view=releases&ref_=mojo_yld_table_221&rf=mojo_yld_table_221,National Geographic Entertainment,2013-10-07,10
/release/rl4116481537/?ref_=bo_yld_table_222,Kon-Tiki,"$1,517,410",75,"$1,517,410",Apr 26,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_222&rf=mojo_yld_table_222,The Weinstein Company,2013-04-26,4
/release/rl710772225/?ref_=bo_yld_table_223,Jerusalem,"$1,488,621",33,"$8,020,721",Sep 13,https://pro.imdb.com/company/co0223903/boxoffice/?view=releases&ref_=mojo_yld_table_223&rf=mojo_yld_table_223,National Geographic Entertainment,2013-09-13,9
/release/rl2236581377/?ref_=bo_yld_table_224,Disconnect,"$1,436,900",180,"$1,436,900",Apr 12,https://pro.imdb.com/company/co0192696/boxoffice/?view=releases&ref_=mojo_yld_table_224&rf=mojo_yld_table_224,LD Entertainment,2013-04-12,4
/release/rl460293633/?ref_=bo_yld_table_225,Rust and Bone,"$1,432,528",168,"$2,062,027",Nov 23,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_225&rf=mojo_yld_table_225,Sony Pictures Classics,2013-11-23,11
/release/rl525633025/?ref_=bo_yld_table_226,Girl Most Likely,"$1,378,591",351,"$1,378,591",Jul 19,https://pro.imdb.com/company/co0017716/boxoffice/?view=releases&ref_=mojo_yld_table_226&rf=mojo_yld_table_226,Roadside Attractions,2013-07-19,7
/release/rl3160114689/?ref_=bo_yld_table_227,I'm So Excited!,"$1,368,119",99,"$1,368,119",Jun 28,https://pro.imdb.com/company/co0014453/boxoffice/?view=releases&ref_=mojo_yld_table_227&rf=mojo_yld_table_227,Sony Pictures Classics,2013-06-28,6
/release/rl1785562625/?ref_=bo_yld_table_228,Red Dawn,"$1,338,731","2,781","$44,806,783",Nov 21,https://pro.imdb.com/company/co0314851/boxoffice/?view=releases&ref_=mojo_yld_table_228&rf=mojo_yld_table_228,FilmDistrict,2013-11-21,11
/release/rl1081509377/?ref_=bo_yld_table_229,The Ultimate Life,"$1,327,841",412,"$1,327,841",Sep 6,https://pro.imdb.com/company/co0423848/boxoffice/?view=releases&ref_=mojo_yld_table_229&rf=mojo_yld_table_229,High Top Releasing,2013-09-06,9
